a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,niveau_hierarchique_poste,heure_supplementaires,augmentation_salaire_precedente,satisfaction_globale,note_evaluation
0,1,2,23,3,Marketing,Occasionnel,0,26,1,4157,Marié(e),Commercial,Cadre Commercial,7,2,2,1,19,3.0,2.5
0,0,1,1,2,Infra & Cloud,Frequent,8,33,1,13458,Célibataire,Consulting,Directeur Technique,1,15,3,1,12,2.75,3.0
0,1,3,18,5,Infra & Cloud,Frequent,1,35,0,9069,Marié(e),Commercial,Cadre Commercial,1,9,3,0,22,2.25,3.5
0,1,3,23,4,Transformation Digitale,Occasionnel,2,35,1,4014,Marié(e),Consulting,Consultant,3,2,1,1,15,2.5,3.0
0,1,3,7,4,Infra & Cloud,Occasionnel,1,31,0,5915,Divorcé(e),Consulting,Consultant,3,7,2,0,22,3.5,3.5
0,1,2,1,4,Infra & Cloud,Occasionnel,0,37,0,5993,Divorcé(e),Consulting,Tech Lead,1,7,2,0,18,2.75,2.5
0,1,3,1,3,Transformation Digitale,Occasionnel,7,32,0,6162,Marié(e),Consulting,Tech Lead,1,9,2,1,22,2.5,3.5
0,0,2,29,5,Infra & Cloud,Frequent,9,38,1,2406,Célibataire,Consulting,Consultant,1,10,2,0,11,3.75,3.0
0,1,2,7,2,Transformation Digitale,Occasionnel,13,50,1,18740,Divorcé(e),Consulting,Directeur Technique,5,27,5,1,12,2.75,2.5
0,0,3,25,3,Infra & Cloud,Occasionnel,7,59,1,7637,Célibataire,Commercial,Cadre Commercial,7,21,3,0,11,2.0,3.0
0,3,2,8,3,Entrepreunariat,Occasionnel,12,36,1,10096,Divorcé(e),Consulting,Manager,1,17,3,0,13,2.75,3.0
0,3,2,8,3,Transformation Digitale,Occasionnel,0,55,1,14756,Divorcé(e),Consulting,Senior Manager,2,5,4,1,14,3.25,3.0
0,0,3,11,3,Infra & Cloud,Frequent,0,36,0,6499,Célibataire,Consulting,Tech Lead,1,6,2,0,13,2.5,2.5
0,1,2,7,3,Infra & Cloud,Occasionnel,0,45,0,9724,Divorcé(e),Consulting,Assistant de Direction,2,1,3,0,17,2.25,3.0
0,1,2,1,3,Transformation Digitale,Frequent,1,35,0,2194,Marié(e),Consulting,Assistant de Direction,4,3,1,0,13,2.25,3.0
1,1,0,9,3,Transformation Digitale,Occasionnel,0,36,0,3388,Marié(e),Consulting,Assistant de Direction,0,1,1,1,17,2.5,2.5
0,0,2,1,1,Infra & Cloud,Frequent,1,59,1,5473,Célibataire,Commercial,Cadre Commercial,7,4,2,0,11,2.5,2.5
0,1,3,2,3,Infra & Cloud,Occasionnel,0,29,0,2703,Marié(e),Consulting,Assistant de Direction,0,5,1,0,23,3.0,3.5
0,0,4,1,4,Transformation Digitale,Occasionnel,1,31,0,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,0,17,2.5,3.0
0,2,3,1,3,Infra & Cloud,Occasionnel,0,32,0,6220,Marié(e),Consulting,Assistant de Direction,1,10,2,0,17,2.25,3.0
0,0,3,6,3,Infra & Cloud,Occasionnel,0,36,1,3038,Marié(e),Consulting,Consultant,3,1,1,0,12,2.75,3.5
0,0,2,8,4,Infra & Cloud,Occasionnel,1,31,1,4424,Célibataire,Consulting,Tech Lead,1,11,2,0,23,3.5,3.5
0,0,2,1,4,Marketing,Occasionnel,2,35,0,4312,Célibataire,Commercial,Cadre Commercial,0,15,2,0,14,2.25,2.5
0,0,3,6,4,Autre,Occasionnel,0,45,0,13245,Marié(e),Consulting,Directeur Technique,4,0,3,1,14,2.75,3.0
0,0,3,7,4,Transformation Digitale,Occasionnel,0,37,0,13664,Célibataire,Consulting,Directeur Technique,4,5,3,0,13,2.25,3.0
0,1,2,5,2,Transformation Digitale,Occasionnel,0,46,0,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,4,2,1,22,2.75,3.5
0,2,1,1,1,Infra & Cloud,Occasionnel,3,30,0,5126,Marié(e),Consulting,Consultant,1,10,2,1,12,3.25,2.5
0,0,3,1,3,Transformation Digitale,Occasionnel,0,35,0,2859,Célibataire,Consulting,Assistant de Direction,1,6,1,0,18,2.25,2.5
0,1,4,1,2,Infra & Cloud,Occasionnel,1,55,0,10239,Marié(e),Commercial,Cadre Commercial,3,1,3,0,14,3.0,3.0
0,3,3,6,3,Transformation Digitale,Aucun,1,38,1,5329,Divorcé(e),Consulting,Assistant de Direction,7,13,2,1,12,3.25,2.0
0,0,2,1,2,Transformation Digitale,Occasionnel,1,34,0,4325,Marié(e),Consulting,Tech Lead,1,5,2,0,15,2.25,3.0
0,0,3,7,3,Infra & Cloud,Occasionnel,0,56,0,7260,Célibataire,Consulting,Tech Lead,4,6,3,0,11,2.75,2.0
0,1,3,2,1,Entrepreunariat,Occasionnel,0,23,0,2322,Divorcé(e),Commercial,Représentant Commercial,3,0,1,0,13,2.5,3.0
0,2,4,9,4,Infra & Cloud,Occasionnel,0,51,0,2075,Marié(e),Consulting,Consultant,3,4,1,0,23,3.25,3.5
0,3,3,2,3,Infra & Cloud,Occasionnel,10,30,0,4152,Marié(e),Consulting,Manager,1,11,2,0,19,2.75,2.5
1,0,3,9,2,Transformation Digitale,Occasionnel,4,46,0,9619,Célibataire,Commercial,Cadre Commercial,1,9,3,0,16,3.5,2.5
0,1,3,1,4,Infra & Cloud,Frequent,11,40,0,13503,Marié(e),Consulting,Manager,1,22,4,0,22,2.75,3.0
0,0,2,21,4,Marketing,Occasionnel,1,51,0,5441,Célibataire,Commercial,Cadre Commercial,0,10,2,1,22,3.0,3.5
0,3,4,4,2,Transformation Digitale,Occasionnel,2,30,1,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,2,1,12,2.25,2.5
0,1,5,1,3,Transformation Digitale,Frequent,9,46,0,10673,Marié(e),Consulting,Manager,2,10,3,1,13,2.25,2.5
0,0,0,6,4,Transformation Digitale,Occasionnel,5,32,0,5010,Célibataire,Commercial,Cadre Commercial,1,11,2,0,16,2.25,3.0
0,1,5,2,4,Entrepreunariat,Occasionnel,0,54,1,13549,Marié(e),Consulting,Directeur Technique,9,4,3,0,12,1.5,3.0
0,1,2,3,2,Autre,Occasionnel,0,24,1,4999,Marié(e),Commercial,Cadre Commercial,0,3,2,0,21,1.75,3.5
0,0,3,4,3,Transformation Digitale,Aucun,0,28,0,4221,Marié(e),Commercial,Cadre Commercial,1,5,2,0,15,2.75,3.0
0,0,1,10,4,Transformation Digitale,Occasionnel,1,58,0,13872,Célibataire,Commercial,Cadre Commercial,0,37,4,0,13,3.0,3.0
0,1,3,23,3,Transformation Digitale,Aucun,1,44,0,2042,Marié(e),Consulting,Consultant,4,3,2,0,12,2.75,3.0
1,0,3,6,4,Ressources Humaines,Occasionnel,0,37,0,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,3,1,1,22,2.75,3.5
0,0,2,1,1,Infra & Cloud,Occasionnel,0,32,0,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,13,3.0,3.0
1,0,5,6,3,Infra & Cloud,Frequent,1,20,1,2926,Célibataire,Consulting,Consultant,1,1,1,1,18,3.25,2.5
0,0,3,6,4,Autre,Occasionnel,2,34,1,4809,Célibataire,Consulting,Assistant de Direction,1,16,2,0,14,2.5,3.0
0,1,2,2,2,Infra & Cloud,Aucun,0,37,0,5163,Divorcé(e),Consulting,Manager,5,1,2,0,14,3.75,2.5
0,1,3,2,4,Ressources Humaines,Aucun,2,59,1,18844,Marié(e),Ressources Humaines,Senior Manager,9,3,5,0,21,3.5,3.0
0,0,1,1,3,Infra & Cloud,Frequent,0,50,1,18172,Marié(e),Consulting,Directeur Technique,3,8,5,1,19,1.5,3.0
1,0,1,5,3,Marketing,Occasionnel,0,25,0,5744,Célibataire,Commercial,Cadre Commercial,1,6,2,1,11,3.25,2.5
0,2,2,7,1,Transformation Digitale,Occasionnel,2,25,0,2889,Marié(e),Consulting,Assistant de Direction,1,2,1,0,11,3.5,2.5
0,0,5,15,3,Transformation Digitale,Occasionnel,0,22,1,2871,Célibataire,Consulting,Consultant,1,0,1,0,15,3.0,3.0
0,0,1,1,4,Transformation Digitale,Frequent,12,51,1,7484,Célibataire,Consulting,Manager,3,13,3,0,20,1.75,3.0
1,0,3,7,3,Infra & Cloud,Frequent,0,34,0,6074,Célibataire,Consulting,Consultant,1,9,2,1,24,2.75,2.5
0,0,3,26,3,Ressources Humaines,Aucun,4,54,1,17328,Célibataire,Ressources Humaines,Senior Manager,2,5,4,1,12,3.5,3.5
0,1,2,18,1,Infra & Cloud,Occasionnel,1,24,0,2774,Marié(e),Consulting,Consultant,0,5,1,0,12,2.75,3.0
0,1,3,6,4,Infra & Cloud,Occasionnel,0,34,1,4505,Divorcé(e),Consulting,Assistant de Direction,6,1,2,0,15,2.75,2.5
0,0,3,3,3,Infra & Cloud,Occasionnel,1,37,0,7428,Célibataire,Commercial,Cadre Commercial,2,5,3,0,12,2.75,3.0
0,0,6,5,3,Transformation Digitale,Occasionnel,5,34,1,11631,Célibataire,Consulting,Senior Manager,2,11,3,0,12,2.75,2.5
0,1,6,11,2,Entrepreunariat,Frequent,2,36,1,9738,Marié(e),Commercial,Cadre Commercial,0,9,3,0,14,3.0,3.0
0,1,2,3,2,Infra & Cloud,Occasionnel,0,36,1,2835,Divorcé(e),Consulting,Consultant,5,1,1,0,22,2.25,3.5
0,2,3,26,2,Infra & Cloud,Frequent,4,43,0,16959,Marié(e),Commercial,Senior Manager,1,25,4,1,12,3.75,3.0
0,3,2,23,3,Infra & Cloud,Frequent,0,30,0,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,1,0,25,2.25,2.5
0,1,2,22,2,Marketing,Aucun,0,33,0,6146,Marié(e),Commercial,Cadre Commercial,0,7,2,0,13,2.5,3.0
1,3,2,14,4,Infra & Cloud,Occasionnel,4,56,1,4963,Marié(e),Consulting,Assistant de Direction,9,5,1,1,18,2.0,3.0
0,0,5,6,3,Infra & Cloud,Occasionnel,15,51,0,19537,Célibataire,Consulting,Directeur Technique,7,20,5,0,13,2.5,3.0
1,0,3,6,4,Infra & Cloud,Occasionnel,7,31,0,6172,Marié(e),Commercial,Cadre Commercial,4,7,2,1,18,2.25,2.0
0,0,3,6,3,Autre,Occasionnel,4,26,1,2368,Marié(e),Consulting,Assistant de Direction,1,5,1,0,19,2.5,2.5
1,1,3,23,4,Transformation Digitale,Occasionnel,15,58,1,10312,Marié(e),Consulting,Manager,1,40,3,0,12,3.5,3.0
1,0,2,22,1,Marketing,Occasionnel,0,19,0,1675,Célibataire,Commercial,Représentant Commercial,1,0,1,1,19,3.25,3.0
0,1,2,2,1,Entrepreunariat,Occasionnel,2,22,0,2523,Marié(e),Consulting,Consultant,0,2,1,0,14,3.25,3.0
0,0,2,20,4,Transformation Digitale,Occasionnel,5,49,1,6567,Marié(e),Consulting,Tech Lead,1,15,2,0,14,2.25,3.0
0,0,2,28,3,Transformation Digitale,Frequent,1,43,1,4739,Célibataire,Consulting,Assistant de Direction,4,3,1,0,12,3.0,3.5
0,0,3,12,3,Marketing,Frequent,2,50,1,9208,Célibataire,Commercial,Cadre Commercial,4,2,3,0,11,3.5,3.0
1,1,2,20,3,Infra & Cloud,Occasionnel,2,31,1,4559,Marié(e),Commercial,Cadre Commercial,3,2,2,1,11,2.75,2.0
0,1,2,9,1,Infra & Cloud,Occasionnel,0,41,0,8189,Divorcé(e),Commercial,Cadre Commercial,3,9,3,1,13,3.0,3.0
0,1,3,25,1,Infra & Cloud,Occasionnel,5,26,1,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,1,0,23,3.25,3.5
0,2,0,6,2,Transformation Digitale,Occasionnel,0,36,0,4941,Divorcé(e),Consulting,Tech Lead,6,3,2,0,20,2.75,3.5
1,0,2,8,4,Infra & Cloud,Frequent,0,51,0,10650,Célibataire,Consulting,Tech Lead,2,4,3,0,15,3.0,2.0
0,1,1,4,4,Infra & Cloud,Occasionnel,5,39,1,5902,Marié(e),Commercial,Cadre Commercial,4,15,2,0,14,3.5,2.5
0,0,3,28,3,Infra & Cloud,Occasionnel,2,25,0,8639,Marié(e),Commercial,Cadre Commercial,2,2,2,0,18,2.75,2.5
0,0,2,9,3,Ressources Humaines,Occasionnel,4,30,0,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,11,2,1,19,3.0,3.0
1,0,2,9,3,Transformation Digitale,Occasionnel,0,32,1,4200,Célibataire,Consulting,Consultant,7,5,1,0,22,1.75,3.5
0,0,2,29,3,Transformation Digitale,Occasionnel,0,45,0,3452,Célibataire,Consulting,Assistant de Direction,5,6,1,0,13,2.75,3.0
0,0,2,3,5,Entrepreunariat,Occasionnel,2,38,1,4317,Célibataire,Consulting,Assistant de Direction,3,3,2,1,20,3.0,3.5
0,0,4,18,3,Infra & Cloud,Occasionnel,0,30,1,2632,Célibataire,Consulting,Assistant de Direction,1,5,1,0,14,2.25,3.0
0,3,2,9,2,Transformation Digitale,Frequent,0,32,0,4668,Divorcé(e),Commercial,Cadre Commercial,0,8,2,0,17,4.0,2.0
0,1,3,5,3,Entrepreunariat,Occasionnel,2,30,1,3204,Divorcé(e),Consulting,Assistant de Direction,5,3,1,0,14,3.0,3.0
0,0,3,2,1,Transformation Digitale,Occasionnel,1,30,0,2720,Célibataire,Consulting,Consultant,0,5,1,0,13,3.25,2.5
0,1,2,10,3,Infra & Cloud,Frequent,7,41,0,17181,Divorcé(e),Consulting,Senior Manager,4,7,4,0,13,2.25,2.5
0,1,2,9,4,Infra & Cloud,Occasionnel,1,41,0,2238,Marié(e),Consulting,Consultant,2,5,1,0,21,2.75,3.5
0,0,3,3,1,Transformation Digitale,Occasionnel,0,19,1,1483,Célibataire,Consulting,Consultant,1,1,1,0,14,2.75,3.0
0,1,2,26,3,Transformation Digitale,Frequent,2,40,1,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,2,0,11,2.0,3.0
0,2,3,1,5,Marketing,Occasionnel,0,35,0,7295,Marié(e),Commercial,Cadre Commercial,1,10,3,0,13,2.25,3.0
0,1,3,6,2,Marketing,Occasionnel,4,53,0,2306,Marié(e),Commercial,Représentant Commercial,2,7,2,1,20,2.5,3.5
0,1,2,9,3,Infra & Cloud,Occasionnel,0,45,0,2348,Divorcé(e),Consulting,Consultant,8,17,2,0,18,2.0,3.0
0,0,2,8,3,Marketing,Frequent,3,32,1,8998,Célibataire,Commercial,Cadre Commercial,1,9,3,0,14,3.25,3.0
0,1,1,1,1,Entrepreunariat,Aucun,0,29,0,4319,Marié(e),Consulting,Tech Lead,1,10,2,0,13,2.75,3.0
0,0,2,7,4,Transformation Digitale,Occasionnel,0,51,0,6132,Marié(e),Consulting,Tech Lead,2,1,2,0,17,2.75,2.5
0,1,3,9,3,Transformation Digitale,Occasionnel,0,58,1,3346,Marié(e),Consulting,Assistant de Direction,4,1,1,1,20,2.0,3.0
0,1,2,4,4,Marketing,Occasionnel,2,40,0,10855,Marié(e),Commercial,Cadre Commercial,7,12,3,0,11,2.5,2.5
0,1,3,2,4,Marketing,Frequent,1,34,1,2231,Marié(e),Commercial,Représentant Commercial,6,4,1,0,18,3.25,3.0
0,2,6,19,1,Transformation Digitale,Occasionnel,2,22,0,2323,Marié(e),Consulting,Assistant de Direction,1,2,1,0,24,2.75,3.5
0,1,1,9,3,Transformation Digitale,Aucun,2,27,0,2024,Divorcé(e),Consulting,Assistant de Direction,6,2,1,0,18,2.75,3.0
0,1,2,21,3,Transformation Digitale,Occasionnel,0,28,0,2713,Marié(e),Consulting,Assistant de Direction,1,5,1,0,11,2.75,3.0
0,1,2,24,2,Infra & Cloud,Occasionnel,1,57,0,9439,Divorcé(e),Consulting,Manager,3,5,3,1,16,2.5,3.5
0,1,2,3,3,Transformation Digitale,Aucun,0,27,0,2566,Divorcé(e),Consulting,Assistant de Direction,1,1,1,1,15,3.0,2.5
0,0,5,11,3,Infra & Cloud,Occasionnel,4,50,1,19926,Célibataire,Consulting,Senior Manager,3,5,5,0,15,2.5,3.0
0,1,2,14,3,Infra & Cloud,Occasionnel,1,41,0,2451,Divorcé(e),Consulting,Assistant de Direction,4,9,1,0,12,2.0,3.0
0,1,2,5,3,Infra & Cloud,Occasionnel,7,30,1,9419,Marié(e),Commercial,Cadre Commercial,2,10,3,0,12,3.0,3.0
0,0,2,1,4,Infra & Cloud,Occasionnel,0,38,1,8686,Célibataire,Commercial,Cadre Commercial,4,8,2,0,22,3.0,3.0
0,0,2,6,5,Infra & Cloud,Occasionnel,1,32,0,3038,Célibataire,Consulting,Assistant de Direction,3,5,1,0,20,2.5,3.5
0,1,3,17,3,Entrepreunariat,Occasionnel,1,27,0,3058,Marié(e),Consulting,Assistant de Direction,0,5,1,1,16,2.75,3.0
1,0,5,1,1,Entrepreunariat,Frequent,0,19,1,2325,Célibataire,Commercial,Représentant Commercial,0,0,1,0,21,2.25,2.5
0,0,3,3,2,Transformation Digitale,Frequent,7,36,0,2088,Célibataire,Consulting,Consultant,4,8,1,0,12,2.75,3.0
0,2,4,9,3,Transformation Digitale,Aucun,6,30,0,3072,Divorcé(e),Consulting,Consultant,1,12,2,0,11,2.5,3.0
0,1,3,4,2,Infra & Cloud,Occasionnel,0,45,1,5006,Divorcé(e),Commercial,Cadre Commercial,4,5,2,1,11,2.25,3.0
0,1,3,8,3,Infra & Cloud,Occasionnel,2,56,1,4257,Divorcé(e),Consulting,Assistant de Direction,4,2,1,1,18,2.5,3.0
0,0,2,2,3,Infra & Cloud,Occasionnel,0,33,0,2500,Célibataire,Consulting,Assistant de Direction,0,3,1,0,14,3.0,3.0
1,0,3,2,3,Infra & Cloud,Occasionnel,1,19,0,1102,Célibataire,Consulting,Consultant,1,1,1,0,22,2.75,3.0
0,3,2,1,2,Marketing,Occasionnel,15,46,1,10453,Divorcé(e),Commercial,Cadre Commercial,1,24,3,0,25,2.25,3.5
0,0,3,9,2,Infra & Cloud,Occasionnel,2,38,1,2288,Célibataire,Consulting,Consultant,1,2,1,0,12,3.25,3.0
0,1,0,12,1,Transformation Digitale,Occasionnel,0,31,1,3929,Marié(e),Consulting,Assistant de Direction,8,4,1,1,23,3.25,3.5
0,0,3,27,2,Transformation Digitale,Occasionnel,1,34,1,2311,Célibataire,Consulting,Assistant de Direction,2,3,1,0,15,3.25,3.0
1,0,5,20,2,Marketing,Occasionnel,0,41,1,3140,Célibataire,Commercial,Représentant Commercial,1,4,1,1,22,2.5,3.5
0,1,2,1,3,Transformation Digitale,Occasionnel,0,50,0,3690,Marié(e),Consulting,Consultant,2,3,1,0,15,3.0,2.5
0,2,3,13,2,Transformation Digitale,Occasionnel,1,53,1,4450,Divorcé(e),Consulting,Tech Lead,1,4,2,0,11,2.75,3.5
0,1,5,14,3,Transformation Digitale,Occasionnel,1,33,1,2756,Marié(e),Consulting,Assistant de Direction,1,8,1,0,13,3.25,3.0
0,1,2,4,1,Transformation Digitale,Occasionnel,9,40,1,19033,Marié(e),Consulting,Senior Manager,1,20,5,0,14,3.0,3.0
0,0,3,14,4,Transformation Digitale,Occasionnel,2,55,0,18722,Célibataire,Consulting,Directeur Technique,8,24,5,0,11,3.0,3.5
0,0,2,2,1,Infra & Cloud,Frequent,1,34,0,9547,Marié(e),Consulting,Tech Lead,1,10,2,0,17,3.0,2.5
0,0,6,3,3,Transformation Digitale,Occasionnel,1,51,1,13734,Célibataire,Consulting,Manager,3,7,4,0,18,3.0,3.0
0,1,5,1,4,Infra & Cloud,Occasionnel,11,52,0,19999,Marié(e),Consulting,Senior Manager,0,33,5,0,14,2.5,2.5
0,0,2,9,3,Transformation Digitale,Occasionnel,0,27,1,2279,Célibataire,Consulting,Assistant de Direction,1,7,1,0,16,3.0,3.0
